CIK,Ticker,Date,% change day,% change week,% change month,10day Vol,Percent Change,Increased?,flesch reading ease,flesch kincaid,gunning fog,smog index,ARI,coleman,linsear,dale chall,textblob sentiment,NLTK Negative,NLTK Neutral,NLTK Positive
1038074,SLAB,2/5/2016,-4.591710102,-13.17944899,-14.99131298,0.027176138,-6.336022781,0,36.63,14.6,12.4,11.2,17.5,14.63,9,6,0.060717216,0.045,0.807,0.148
1509228,SDT,3/13/2015,-3.058103976,-15.90214067,-17.12538226,0.02557471,-6.528189911,0,36.63,14.6,12.4,11.2,17.6,14.92,11.5,6.2,0.045025826,0.039,0.751,0.21
1023860,SSFN,3/22/2017,-7.692307692,-5.917159763,-8.875739645,0.026168793,-6.593406593,0,36.63,14.6,12.4,11.2,17.9,14.8,6,5.9,0.056605447,0.049,0.802,0.148
823094,BID,2/26/2016,-7.255936675,-2.55057168,0.219876869,0.034122245,-6.724067241,0,36.63,14.6,12.4,11.2,17.1,14.34,13.5,5.74,0.040407781,0.034,0.819,0.147
1177648,ENTA,12/11/2015,-6.795469687,-2.53164557,-5.263157895,0.03150965,-6.830941984,0,36.63,14.6,12.4,11.2,18.1,15.5,11,6.15,0.069445671,0.047,0.813,0.14
1487730,SPB,11/17/2016,-5.103924244,0.617927935,-8.731241473,0.032314568,-7.215392838,0,36.63,14.6,12.4,11.2,17.6,14.63,6,6.16,0.052846221,0.047,0.835,0.119
1235007,ECYT,3/13/2017,0,,16.79389313,0.038681777,-7.251908397,0,36.63,14.6,12.4,11.2,18.2,15.38,8,5.94,,,,
1000694,NVAX,2/27/2017,0,11.04294479,21.47239264,0.063657316,-7.36196319,0,36.63,14.6,12.4,11.2,18,15.26,14,6.21,0.063185652,0.046,0.83,0.125
927355,TESS,6/7/2017,-4.651162791,-7.751937984,-9.689922481,0.015617919,-7.407407407,0,36.63,14.6,12.4,11.2,17.5,14.92,10.5,2.04,,,,
1583744,ARCX,3/11/2016,-11.53081511,-22.16699801,-10.6361829,0.037213065,-8.645276292,0,36.63,14.6,12.4,11.2,17.7,14.92,7,5.83,0.023274825,0.043,0.819,0.138
1546417,BLMN,2/22/2017,-5.257270694,-1.677852349,4.977628635,0.024925184,-9.192348565,0,36.63,14.6,12.4,11.2,17.9,14.8,7,5.81,,,,
883943,CBK,3/22/2016,-2.074688797,-2.489626556,39.00414938,0.040640807,-9.349593496,0,36.63,14.6,12.4,11.2,17.6,14.92,19,6.42,0.046954997,0.051,0.821,0.128
1021270,DAVE,3/21/2017,-1.694915254,0.564971751,-38.98305085,0.021703294,-10,0,36.63,14.6,12.4,11.2,17.7,14.92,14,1.98,0.063165046,0.036,0.824,0.139
876343,BTX,4/29/2015,-3.052064632,-1.615798923,10.23339318,0.026384048,-10.6271777,0,36.63,14.6,12.4,11.2,17.9,15.15,15.5,6.05,0.048953742,0.041,0.82,0.139
1368458,SBH,11/15/2016,-17.23027375,-4.146537842,-4.62962963,0.053115043,-10.74862637,0,36.63,14.6,12.4,11.2,17.9,15.21,8.5,6.15,0.037576128,0.047,0.803,0.15
20947,CEI,3/31/2015,-7.142857143,-4.666666667,-6.666666667,0.068836465,-11.11111111,0,36.63,14.6,12.4,11.2,18.4,15.96,7,2.06,0.002418705,0.031,0.84,0.13
784199,CRY,2/16/2017,-21.42857143,-15.52795031,-15.83850932,0.057393844,-11.76470588,0,36.63,14.6,12.4,11.2,17.5,14.8,9,6.09,,,,
864240,SYPR,3/31/2015,-10,-12.72727273,-10.45454545,0.038627839,-15.2892562,0,36.63,14.6,12.4,11.2,17.5,14.86,8,6.33,0.054219396,0.045,0.816,0.139
825410,LDR,12/14/2015,0,-6.574675325,-5.33008658,0.01488824,-16.66666667,0,36.63,14.6,12.4,11.2,17.6,14.86,8,5.96,0.059872918,0.05,0.822,0.128
825410,LDR,12/14/2015,0,-6.574675325,-5.33008658,0.01488824,-16.66666667,0,36.63,14.6,12.4,11.2,17.6,14.86,8,5.96,0.059872918,0.05,0.822,0.128
1124827,UTIW,4/1/2015,-23.24649299,-28.75751503,-30.16032064,0.058688654,-21.54471545,0,36.63,14.6,12.4,11.2,18,15.03,12,2.08,0.031553053,0.042,0.822,0.136
1509190,PETX,3/14/2017,-30.63909774,-22.36842105,-19.54887218,0.077194766,-22.15827338,0,36.63,14.6,12.4,11.2,17.8,14.92,7,6.22,,,,
1281922,TPLM,5/27/2016,-4.85,-34.7,-148.75,0.045389335,-26.08488317,0,36.63,14.6,12.4,11.2,17.8,15.09,14,6.17,0.050062385,0.049,0.809,0.142
1089143,CLCT,8/27/2015,,-2.216216216,-8.864864865,0.020323203,,,36.63,14.6,12.4,11.2,17.7,15.09,11.5,6.28,0.050895059,0.039,0.849,0.112
1100270,KKD,4/2/2015,1.349325337,0.449775112,-7.246376812,0.014649931,,,36.63,14.6,12.4,11.2,18,15.15,28,5.88,0.036801763,0.036,0.837,0.127
1326801,FB,2/13/2015,-0.646950092,1.676789015,-0.712965408,0.008820327,,,36.63,14.6,12.4,11.2,17.1,14.39,13.5,6.18,0.03533015,0.044,0.806,0.15
14272,BMY,2/13/2015,0.932711526,0.616255829,-4.846768821,0.011245269,,,36.63,14.6,12.4,11.2,17.4,14.28,13.5,2,0.02741409,0.035,0.825,0.14
225211,OHGI,4/1/2015,8.571428571,84.38190476,6.742857143,2.647833588,,,36.63,14.6,12.4,11.2,17.4,14.63,13.5,6.37,0.075411247,0.027,0.845,0.128
1041550,HFBC,3/9/2016,,0.593723495,1.314673452,0.005496255,,,36.63,14.6,12.4,11.2,17.4,14.28,13.5,5.75,0.051699254,0.051,0.811,0.138
1393311,PSA,2/29/2016,0,-1.663393322,-1.839753096,0.012800249,,,36.63,14.6,12.4,11.2,18.1,15.32,7,5.86,0.034763846,0.04,0.797,0.163
1520006,MTDR,2/29/2016,,-1.672862454,7.063197026,0.041446723,,,36.63,14.6,12.4,11.2,17.5,14.51,11,6.15,0.045985325,0.041,0.804,0.154
1520744,LMOS,3/10/2016,,0.963855422,8.915662651,0.017790443,,,36.63,14.6,12.4,11.2,17.7,15.09,7,6.14,0.054647268,0.04,0.819,0.141
1538267,SDR,3/16/2016,,1.025641026,23.58974359,0.026979109,,,36.63,14.6,12.4,11.2,17.3,14.57,7,6,0.039869752,0.037,0.757,0.206
1569134,TEP,2/17/2016,4.818059299,1.85309973,-14.42048518,0.052075036,,,36.63,14.6,12.4,11.2,17.7,15.09,8.5,5.89,0.028982374,0.047,0.805,0.148
29332,DXYN,3/9/2016,,-7.535885167,-10.76555024,0.015600935,,,36.63,14.6,12.4,11.2,17.4,14.45,8.5,6.02,0.063070707,0.033,0.846,0.121
701347,CPF,2/25/2016,,0.300450676,2.453680521,0.009307484,,,36.63,14.6,12.4,11.2,17.5,14.57,8.5,5.86,0.06323461,0.055,0.792,0.154
